room_name,room,zone,temp_sensor,lux_sensor,light
boys_bedroom,boys_bedroom,1,sensor.awair_bbd_temp,sensor.hue_motion_sensor_1_illuminance_4,light.lifx_bbd_t2
dining_room,dining_room,1,sensor.awair_dr_temp,sensor.hue_motion_sensor_1_illuminance_3,light.dr_tile_1
downstairs_bathroom,downstairs_bathroom,1,sensor.db_hue_motion_temperature,sensor.db_hue_motion_illuminance,light.downstairs_bathroom_lutron_downstairs_bathroom
games_room,games_room,1,sensor.awair_gr_temp,sensor.hue_motion_sensor_1_illuminance_2,light.gr_tiles_zone_1
games_room,games_room,2,sensor.awair_gr_temp,sensor.hue_motion_sensor_1_illuminance_2,light.gr_tiles_zone_2
games_room,games_room,3,sensor.awair_gr_temp,sensor.hue_motion_sensor_1_illuminance_2,light.gr_tiles_zone_3
games_room,games_room,4,sensor.awair_gr_temp,sensor.hue_motion_sensor_1_illuminance_2,light.gr_tiles_zone_4
games_room,games_room,5,sensor.awair_gr_temp,sensor.hue_motion_sensor_1_illuminance_2,light.gr_tiles_zone_5
games_room,games_room,6,sensor.awair_gr_temp,sensor.hue_motion_sensor_1_illuminance_2,light.gr_tiles_zone_6
games_room,games_room,7,sensor.awair_gr_temp,sensor.hue_motion_sensor_1_illuminance_2,light.gr_tiles_zone_7
games_room,games_room,8,sensor.awair_gr_temp,sensor.hue_motion_sensor_1_illuminance_2,light.gr_tiles_zone_8
girls_bedroom,girls_bedroom,1,sensor.awair_gbr_temp,sensor.awair_gbr_lux,light.grlr_t2
home_office,home_office,1,sensor.awair_ho_temp,sensor.hue_motion_sensor_1_illuminance,light.ho_candle_8
home_office,home_office,2,sensor.awair_ho_temp,sensor.hue_motion_sensor_1_illuminance,light.novostella_4
home_office,home_office,3,sensor.awair_ho_temp,sensor.hue_motion_sensor_1_illuminance,light.lifx_tiles_desk
home_office,home_office,4,sensor.awair_ho_temp,sensor.hue_motion_sensor_1_illuminance,light.ho_candle_5
home_office,home_office,5,sensor.awair_ho_temp,sensor.hue_motion_sensor_1_illuminance,light.ho_candle_7
home_office,home_office,6,sensor.awair_ho_temp,sensor.hue_motion_sensor_1_illuminance,light.ho_candle_4
home_office,home_office,7,sensor.awair_ho_temp,sensor.hue_motion_sensor_1_illuminance,light.lifx_beam_office
home_office,home_office,8,sensor.awair_ho_temp,sensor.hue_motion_sensor_1_illuminance,light.my_desk
home_office,home_office,9,sensor.awair_ho_temp,sensor.hue_motion_sensor_1_illuminance,light.lifx_tile_office
home_office,home_office,10,sensor.awair_ho_temp,sensor.hue_motion_sensor_1_illuminance,light.ho_sengled_led
home_office,home_office,11,sensor.awair_ho_temp,sensor.hue_motion_sensor_1_illuminance,light.novostella_right
home_office,home_office,12,sensor.awair_ho_temp,sensor.hue_motion_sensor_1_illuminance,light.ho_sylvania_led
home_office,home_office,13,sensor.awair_ho_temp,sensor.hue_motion_sensor_1_illuminance,light.ho_candle_6
home_office,home_office,14,sensor.awair_ho_temp,sensor.hue_motion_sensor_1_illuminance,light.novostella_left
kitchen,kitchen,1,sensor.hue_motion_sensor_1_temperature_3,sensor.hue_motion_sensor_1_illuminance_3,light.kitchen_lutron_kitchen_accent
kitchen,kitchen,2,sensor.hue_motion_sensor_1_temperature_3,sensor.hue_motion_sensor_1_illuminance_3,light.kitchen_lutron_kitchen_main
living_room,living_room,1,sensor.awair_lr_temp,sensor.hue_motion_sensor_1_illuminance_3,light.lr_tile_1
living_room,living_room,2,sensor.awair_lr_temp,sensor.hue_motion_sensor_1_illuminance_3,light.lr_tile_1
living_room,living_room,3,sensor.awair_lr_temp,sensor.hue_motion_sensor_1_illuminance_3,light.lr_tile_1
living_room,living_room,4,sensor.awair_lr_temp,sensor.hue_motion_sensor_1_illuminance_3,light.lr_tile_1
living_room,living_room,5,sensor.awair_lr_temp,sensor.hue_motion_sensor_1_illuminance_3,light.lr_tile_1
living_room,living_room,6,sensor.awair_lr_temp,sensor.hue_motion_sensor_1_illuminance_3,light.lr_tile_1
living_room,living_room,7,sensor.awair_lr_temp,sensor.hue_motion_sensor_1_illuminance_3,light.lr_tile_1
master_bedroom,master_bedroom,1,sensor.awair_mb_temp,sensor.hue_motion_sensor_2_illuminance,light.mb_tiles_2
master_bedroom,master_bedroom,2,sensor.awair_mb_temp,sensor.hue_motion_sensor_2_illuminance,light.lifx_flood_1
master_bedroom,master_bedroom,3,sensor.awair_mb_temp,sensor.hue_motion_sensor_2_illuminance,light.lifx_z_top
master_bedroom,master_bedroom,4,sensor.awair_mb_temp,sensor.hue_motion_sensor_2_illuminance,light.lifx_z_bottom
master_bedroom,master_bedroom,5,sensor.awair_mb_temp,sensor.hue_motion_sensor_2_illuminance,light.lifx_z_bottom
master_bedroom,master_bedroom,6,sensor.awair_mb_temp,sensor.hue_motion_sensor_2_illuminance,light.mb_lifx_tiles
master_bedroom,master_bedroom,7,sensor.awair_mb_temp,sensor.hue_motion_sensor_2_illuminance,light.mb_lifx_elephant_lamp
master_bedroom,master_bedroom,8,sensor.awair_mb_temp,sensor.hue_motion_sensor_2_illuminance,light.mb_tiles_3
